知识点ID,名称,所属课时,所属章节,子概念,对应题型,一级难度,二级难度,三级难度
L1_K1_pitchProperties,音的四种性质,L1,ch1,音高由频率(Hz)决定；音值由振动持续时间决定；音量由振幅决定；音色由泛音列构成决定；A4 = 440 Hz 国际标准音,主要：AI 导师问答 (概念性问题)；辅助：术语闪卡,什么决定了音的高低？；A4 标准音的频率是多少 Hz？；基础概念辨识题,为何同一音高的钢琴和小提琴听起来不同？；振幅与音量的关系；概念应用题,"若 A4=440Hz, A5 频率是？；分析某乐音的四种性质；综合分析题"
L1_K2_wholeStepHalfStep,全音与半音,L1,ch1,半音是最小音程单位；全音 = 两个半音；天然半音：E-F、B-C；钢琴键盘上的位置识别；大调音阶模式：全全半全全全半,主要：音程练习 (Interval Exercise)；辅助：音高识别练习,C-D (全) vs C-C♯ (半)；仅基本音级中的全/半音判断；相邻白键判断,加入 E-F、B-C 天然半音；含基本音级各种组合；含简单变化音级,跨八度判断；含重升/重降变化音；大调音阶完整推导
L2_K1_octaveGroups,音组划分与中央 C,L2,ch1,大字二组到小字五组的体系；中央 C = c¹ = C4；大写/小写记法规则；中央 C 在大谱表的两种位置；频率约 261.63 Hz,主要：记谱练习 (Notation Exercise)；辅助：AI 导师问答,识别小字一组、二组的音名；指出中央 C 的位置；基本音组归属判断,加入大字组、大字一组；大谱表中央 C 双位置识别；音组与频率范围对应,跨多个音组的快速识别；罕见音组 (大字二组、小字五组)；音组与钢琴键盘对应
L2_K2_temperamentEnharmonic,律制与等音,L2,ch1,十二平均律基本原理；纯律与五度相生律的差异；中国「三分损益法」；等音对 (C♯=D♭ 等)；不同调性中等音的选择,主要：AI 导师问答；辅助：术语闪卡,识别基本等音对：C♯=D♭；说出三种律制名称；等音的基本概念,"解释三种律制的差异；罕见等音：E♯=F, B♯=C；等音的作曲选择原理",判断特定调性中应使用哪种写法；纯律与平均律的频率比计算；泛音列与律制的关系
L3_K1_trebleClef,高音谱号识读,L3,ch2,G 谱号的螺旋中心 = G4；五线音名：E-G-B-D-F (Every Good Boy Does Fine)；四间音名：F-A-C-E (FACE)；中央 C 在下加一线；加线音的识读,主要：记谱练习 (Notation Exercise)；辅助：术语闪卡,五线四间内的音名识别；仅 E4-F5 范围内；直接显示在线/间上的音,加入下加一线 (中央C)；上加一线、上加一间；小升降号变化音,上下加二线及更远；含双升降号；复杂加线音的快速识读
L3_K2_bassClef,低音谱号识读,L3,ch2,F 谱号两点夹住第四线 = F3；五线音名：G-B-D-F-A (Good Boys Do Fine Always)；四间音名：A-C-E-G (All Cows Eat Grass)；中央 C 在上加一线；与高音谱号的衔接关系,主要：记谱练习 (Notation Exercise)；辅助：术语闪卡,五线四间内的音名识别；仅 G2-A3 范围内；直接显示在线/间上的音,加入上加一线 (中央C)；下加一线、下加一间；小升降号变化音,上下加二线及更远；大谱表中央 C 双写法；含变化音的复杂识读
L4_K1_noteValues,音符时值体系,L4,ch2,"全音符到三十二分音符的二分递减；全音符=4拍, 二分=2拍, 四分=1拍；八分=½拍, 十六分=¼拍；时值换算关系；符头、符干、符尾的构成",主要：节奏练习 (Rhythm Exercise)；辅助：AI 导师问答,识别音符的名称；基本时值换算 (1全=2二分)；单一音符的拍数,节奏型的总时值计算；混合时值识别；符干方向判断,复杂节奏型的拍数推算；三十二分音符的应用；含休止符的节奏总长
L4_K2_dotsAndTies,附点与连音线,L4,ch2,附点 = 增加一半时值；复附点 = 增加 ¾；连音线 (tie) 跨小节；连音线 vs 连奏线 (slur)；三连音的记写,主要：节奏练习 (Rhythm Exercise)；辅助：AI 导师问答,附点四分=1.5拍；连音线的基本概念；简单跨小节连接,复附点的时值计算；三连音的识别；区分 tie 与 slur,复杂跨小节长音；附点+连音线+三连音组合；非常规节奏型
L5_K1_trillMordent,颤音与波音,L5,ch3,颤音 tr 的定义与演奏；上波音 𝆗：主→上→主；下波音 𝆘：主→下→主；巴洛克 vs 古典演奏方式；颤音的收尾,主要：术语闪卡 + AI 导师；辅助：记谱练习 (识别符号),识别 tr、𝆗、𝆘 三个符号；说出装饰音的中文名；基本演奏方向,上波音与下波音的演奏顺序；颤音的速度规范；巴洛克时期从上方音开始,区分相似符号 (波音 vs 短颤音)；古典 vs 浪漫演奏差异；含调性变化的下方二度音
L5_K2_turnAppoggiatura,回音与倚音,L5,ch3,回音 ∽ 的四音顺序；反向回音；长前倚音 (占主音时值一半)；后倚音 (符干上加斜线)；倚音的演奏速度,主要：术语闪卡 + AI 导师；辅助：记谱练习,识别 ∽ 与小音符；回音 = 四个音；前倚音与后倚音的符号区别,回音的演奏顺序：上→主→下→主；长前倚音的时值计算；反向回音的演奏,回音的两种位置 (音上 vs 音间)；长/短前倚音的判断；复杂倚音组合
