课时ID,课时名称,计划题数,实际题数,易题数,中题数,难题数,分配说明
L1,音的性质与乐音体系,3,3,3,0,0,基础概念，入门难度低，3 题足以覆盖音的四种性质 + 全音半音
L2,音组、律制、等音、泛音列,5,5,0,4,1,律制对比、等音判断、泛音列涉及计算与理解，知识点密集
L3,谱号与谱表,5,5,1,3,1,高低音谱号识读是核心技能，需要覆盖线/间/加线各类情境
L4,音符与休止符的写法,5,5,2,2,1,时值换算、附点计算、连音线 vs 连奏线辨析，易出错
L5,装饰音的定义与五种装饰音,4,4,0,3,1,颤音/波音/回音/倚音的演奏顺序，符号辨析，巴洛克 vs 古典差异
L6,演奏符号、乐谱分析,4,4,2,2,0,力度排序、奏法区分 (legato/staccato/tenuto)、速度术语
L7,略写记号、演奏法记号,4,4,0,3,1,D.C./D.S./Coda 的组合推导，第一/第二结尾的演奏顺序，震音 vs 颤音
L8,音乐术语与乐谱分析,4,4,2,2,0,速度术语排序、表情术语翻译、德法术语基础
L9,节奏与节拍的定义、各种节奏,4,4,1,2,1,拍号含义、强弱规律、单/复拍子区分
L10,不同拍号中的音值组合,5,5,0,3,2,音值组合规则最难掌握：半小节中线、6/8 vs 3/4 分组、跨小节连音线
L11,切分音与切分节奏,5,5,0,4,1,切分三种形式辨析、经典切分型、切分 vs 三连音、不同风格应用
L12,综合复习与后测,2,2,0,2,0,"跨章节综合题：易混淆概念最终辨析 (tie vs slur, tremolo vs trill 等)"
